dish_name,ingredient,amount,instructions,link,insight
야끼니꾸,간장 ,2T,1. 야채를 먼저굽고 소금간 살짝 2. 소스 만들어서 잠깐 소고기를 재우고 3. 소스를 최대한 빼서 굽고 4. 고기를 빼고 소스만 살짝 조려서 (술 있으면 살짝 추가) 5. 후추로 마무리,,소스에 술 추가하면 깔끔해짐
야끼니꾸,설탕 ,1.5T,,,
야끼니꾸,맛술 ,2T,,,
야끼니꾸,굴소스 ,1T,,,
야끼니꾸,참기름 ,1T,,,
야끼니꾸,간마늘 ,1T,,,
야끼니꾸,얇은 소고기,400g,,,
야끼니꾸,물 ,2T,,,
야끼니꾸,깨,조금,,,
야끼니꾸,양파,0.5개,,,
야끼니꾸,버섯 ,1-2개,,,
야끼니꾸,후추,조금,,,
야끼니꾸,소금,조금,,,
땅콩소스 스테이크,땅콩버터,2T,1. 버섯 양파 파슬리 올리브유로 굽고 버터 추가. 간없이 후추만 추가 2. 스테이크 간 충분히해서 굽고 (말돈 사용) 3. 땅콩소스 얹어서 먹기,,파슬리는 볶으면 풍미가 좋음
땅콩소스 스테이크,마요네즈 ,1T,,,
땅콩소스 스테이크,간장 ,1T,,,
땅콩소스 스테이크,고수,듬뿍,,,
땅콩소스 스테이크,레몬즙,0.5T,,,
땅콩소스 스테이크,물 ,2T,,,
땅콩소스 스테이크,알룰로스,0.5T,,,
땅콩소스 스테이크,굴소스 ,필요시,,,
땅콩소스 스테이크,다진마늘,1T,,,
땅콩소스 스테이크,대파,1T,,,
땅콩소스 스테이크,식초,옵션,,,
땅콩소스 스테이크,스테이크,400g,,,
땅콩소스 스테이크,적색양파,0.5개,,,
땅콩소스 스테이크,파슬리,적당히,,,
땅콩소스 스테이크,버터,1T,,,
땅콩소스 스테이크,버섯 ,1-2개,,,
땅콩소스 스테이크,후추,조금,,,
가지덮밥,가지,1개,"1. 가지 소금에 밑간 살짝 2. 기름두르고 가지를 굽고 3. 소스를 부어서 마무리 4. 전자렌지에 수란 만들어서 (계란이 가려질때까지 물을 넣고) 5. 덮밥으로 마무리, 파 추가",,
가지덮밥,소금,조금,,,
가지덮밥,간장 ,1T,,,
가지덮밥,물 ,2T,,,
가지덮밥,굴소스 ,1.5T,,,
가지덮밥,참기름 ,1T,,,
가지덮밥,알룰로스,1T,,,
가지덮밥,청양고추,1T,,,
가지덮밥,후추,조금,,,
가지덮밥,파 ,1T,,,
알리올리오,물 ,700ml,"1. 물을 먼저 끓여서 면 추가 2. 통마늘 2개 갈아서 넣어주기 3. 올리브유 2T 넣어주기 4. 끓이면서 소금 0.5T + 페페론치노 추가 5. 국물이 3-4T 정도 남았을 때 불을 끄고 올리브유 1T, 마늘 1개 추가 6. 치즈 추가",,
알리올리오,페페론치노,2개,,,
알리올리오,통마늘 ,3개 ,,,
알리올리오,파스타면 ,1인분,,,
알리올리오,올리브유 ,4T,,,
알리올리오,소금 ,0.5T,,,
알리올리오,파마산치즈,적당량,,,
알리올리오,새우,옵션,,,
알리올리오,명란 ,옵션,,,
